-- ============================================================================
-- Query 11: Root Blocker Session 3082/44313 — Full ASH Timeline
-- ============================================================================
-- Purpose: Capture every ASH sample for SID 3082 during the incident window
--          to trace its complete activity from normal operations through the
--          redo-scanning operation that caused the mutex storm.
-- Result:  76 ASH samples showing:
--          - 08:30-08:32: Normal INSERT w/ serial# 29459 from drvl1078
--          - 08:37-08:40: SELECT w/ serial# 42363/42787 from drvl141
--          - 08:47-09:23: Root blocker w/ serial# 44313 from drvl1078
--            (log file sequential read + ON CPU, scanning redo logs 987952/987953)
-- Run on:  POST2P (DBID 2771519206), dru104a
-- Date:    March 2026 (post-incident investigation)
-- ============================================================================

-- SQL Query:
-- SELECT sample_time, session_id, session_serial#, sql_id, sql_opname,
--        event, session_state, machine
-- FROM dba_hist_active_sess_history
-- WHERE dbid = 2771519206
--   AND instance_number = 1
--   AND snap_id BETWEEN 233938 AND 233941
--   AND session_id = 3082
-- ORDER BY sample_time;

SAMPLE_TIME,SESSION_ID,SESSION_SERIAL#,SQL_ID,SQL_OPNAME,EVENT,SESSION_STATE,MACHINE
09-MAR-26 08.52.15.963000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 08.52.26.133000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 08.52.38.876000000 AM,3082,44313,459f3z9u4fb3u,SELECT,log file sequential read,WAITING,drvl1078
09-MAR-26 08.52.49.163000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 08.52.59.410000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 08.53.09.599000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.16.44.156000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.16.56.007000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.17.09.694000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.17.23.329000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.17.40.171000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.17.53.958000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.18.08.824000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.18.22.344000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.18.39.238000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.18.52.463000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.19.07.452000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
09-MAR-26 09.19.20.075000000 AM,3082,44313,459f3z9u4fb3u,SELECT,,ON CPU,drvl1078
