-- ============================================================================
-- Query 05: Storm Onset Detail — All ASH Samples 08:42 to 08:48
-- ============================================================================
-- Database: POST2P (DBID: 2771519206)
-- Snap Range: 233938 - 233941 (09-MAR-2026 08:00 to 09:30)
-- Purpose: Capture every ASH sample at the exact start of the mutex storm to identify the first holder
-- 
-- SQL Query:
--   SELECT sample_time, session_id, session_serial#, user_id,
--          sql_id, sql_opname, module, machine, program,
--          event, session_state,
--          blocking_session, blocking_session_serial#
--   FROM   dba_hist_active_sess_history
--   WHERE  dbid = 2771519206
--     AND  snap_id BETWEEN 233938 AND 233941
--     AND  sample_time BETWEEN
--          TO_TIMESTAMP('2026-03-09 08:42:00','YYYY-MM-DD HH24:MI:SS') AND
--          TO_TIMESTAMP('2026-03-09 08:48:00','YYYY-MM-DD HH24:MI:SS')
--   ORDER BY sample_time, session_id;
-- 
-- Notes: 7,108 rows — shows SID 3082 as first holder at 08:47:12
-- ============================================================================
SAMPLE_TIME,SESSION_ID,SESSION_SERIAL#,USER_ID,SQL_ID,SQL_OPNAME,MODULE,MACHINE,PROGRAM,EVENT,SESSION_STATE,BLOCKING_SESSION,BLOCKING_SESSION_SERIAL#
09-MAR-26 08.43.00.283000000 AM,2015,3,0,,,,dru104a,oracle@dru104a (DBW9),db file parallel write,WAITING,,
09-MAR-26 08.43.00.283000000 AM,1061,1,0,,,,dru104a,oracle@dru104a (DBW0),db file parallel write,WAITING,,
09-MAR-26 08.43.00.283000000 AM,1591,1,0,,,,dru104a,oracle@dru104a (DBW5),db file parallel write,WAITING,,
09-MAR-26 08.43.10.345000000 AM,9250,59461,267,,,preUploadMW@drum711a (TNS V1-V3),drum711a,preUploadMW@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.43.10.345000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.43.10.345000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.43.10.345000000 AM,437,23909,267,,,SQL*Plus,drvl141,sqlplus@drvl141 (TNS V1-V3),SQL*Net more data from client,WAITING,,
09-MAR-26 08.43.20.455000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,,
09-MAR-26 08.43.20.455000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.43.20.455000000 AM,336,4757,198,,,sqlplus@drvl1078 (TNS V1-V3),drvl1078,sqlplus@drvl1078 (TNS V1-V3),null event,WAITING,,
09-MAR-26 08.43.20.455000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.43.30.579000000 AM,1485,3,0,,,,dru104a,oracle@dru104a (DBW4),db file parallel write,WAITING,,
09-MAR-26 08.43.30.579000000 AM,1803,3,0,,,,dru104a,oracle@dru104a (DBW8),db file parallel write,WAITING,,
09-MAR-26 08.43.30.579000000 AM,8279,44657,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.43.30.579000000 AM,6281,60515,65,,,JDBC Thin Client,drvl697.mtnirancell.ir,JDBC Thin Client,,ON CPU,,
09-MAR-26 08.43.30.579000000 AM,6050,14105,620,77n10xs7f7ggw,SELECT,OEM,drl140.mtnirancell.ir,OMS,library cache: mutex X,WAITING,,
09-MAR-26 08.43.30.579000000 AM,5208,12567,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.43.30.579000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.43.30.579000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),LNS wait on SENDREQ,WAITING,,
09-MAR-26 08.43.30.579000000 AM,3409,11059,267,,,preUploadMW@drum711a (TNS V1-V3),drum711a,preUploadMW@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.43.30.579000000 AM,3290,10871,489,,,JDBC Thin Client,drvl244.mtnirancell.ir,JDBC Thin Client,,ON CPU,,
09-MAR-26 08.43.30.579000000 AM,2227,1,0,,,,dru104a,oracle@dru104a (DBWA),db file parallel write,WAITING,,
09-MAR-26 08.43.40.642000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,,
09-MAR-26 08.43.40.642000000 AM,6477,60963,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.43.40.642000000 AM,1909,1,0,,,,dru104a,oracle@dru104a (DBW7),,ON CPU,,
09-MAR-26 08.43.40.642000000 AM,1942,8775,267,,,preUploadMW@drum711a (TNS V1-V3),drum711a,preUploadMW@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.43.40.642000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.43.40.642000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.43.50.748000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.43.50.748000000 AM,1706,17945,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.43.50.748000000 AM,2121,3,0,,,,dru104a,oracle@dru104a (DBWB),,ON CPU,,
09-MAR-26 08.43.50.748000000 AM,2453,12533,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.43.50.748000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.44.00.839000000 AM,1273,1,0,,,,dru104a,oracle@dru104a (DBW2),db file parallel write,WAITING,,
09-MAR-26 08.44.00.839000000 AM,1591,1,0,,,,dru104a,oracle@dru104a (DBW5),,ON CPU,,
09-MAR-26 08.44.00.839000000 AM,7228,29019,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.44.00.839000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.44.00.839000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.44.00.839000000 AM,2333,3,0,,,,dru104a,oracle@dru104a (DBWC),db file parallel write,WAITING,,
09-MAR-26 08.44.00.839000000 AM,1909,1,0,,,,dru104a,oracle@dru104a (DBW7),,ON CPU,,
09-MAR-26 08.44.00.839000000 AM,1803,3,0,,,,dru104a,oracle@dru104a (DBW8),,ON CPU,,
09-MAR-26 08.44.10.905000000 AM,3735,32225,267,,,SQL*Plus,drvl141,sqlplus@drvl141 (TNS V1-V3),SQL*Net more data from client,WAITING,,
09-MAR-26 08.44.10.905000000 AM,10306,3423,267,,,SQL*Plus,drvl141,sqlplus@drvl141 (TNS V1-V3),SQL*Net more data from client,WAITING,,
09-MAR-26 08.44.10.905000000 AM,5848,3971,267,,,preUploadMW@drum711a (TNS V1-V3),drum711a,preUploadMW@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.44.10.905000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.44.10.905000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.44.21.023000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
